date,USDBRL,neer,reer,brazil_rate,us_rate,vix,current_account,aec,pae,fx_gap,total_commodity_exports,total_export_value,total_export_kg,post_2008
1/1/00,1.80292381,191.72,113.62,19,5.5,23.20,-1049000000,,,,4197748000,3446768506,19404428172,0
2/1/00,1.774490476,195.7,115.64,19,5.75,23.60,-1306800000,,,,4679559000,4120793391,16179667934,0
3/1/00,1.741233333,201.65,119.02,18.5,6,22.72,-2049600000,,,,4485576000,4467447649,20541303182,0
4/1/00,1.767368421,200.17,118.52,18.5,6,27.16,-3122300000,,,,4445889000,4170220598,18033808143,0
5/1/00,1.827131818,197.11,116.64,18.5,6.5,26.37,-1767200000,,,,4649559000,5060389264,23874946411,0
6/1/00,1.807528571,196.18,116,17.5,6.5,21.54,-2596000000,,,,4554626000,4850102157,21197566320,0
7/1/00,1.79702381,198.14,118.86,16.5,6.5,19.89,-1482800000,,,,4694266000,5000307451,22660894162,0
8/1/00,1.80843913,199.51,121.15,16.5,6.5,18.09,-1648500000,,,,4852098000,5516407914,23834378510,0
9/1/00,1.83839,198.72,120.38,16.5,6.5,19.69,-1825400000,,,,4508456000,4705729616,20096075378,0
10/1/00,1.878838095,196.09,118.76,16.5,6.5,"	25.20",-3727400000,,,,4467626000,4634820927,21888519226,0
11/1/00,1.94721,189.71,115.14,16.5,6.5,"	26.38",-2846900000,,,,4524770000,4374176633,18815228417,0
12/1/00,1.9625,185.85,113.33,15.75,6.5,"	26.53",-3108900000,,,,4784668000,4645995542,18010585422,0
1/1/01,1.953709091,185.12,113.3,15.25,5.5,24.92,-2425900000,,,,5229457000,4528675856,24699710529,0
2/1/01,2.001055556,181.57,111.42,15.25,5.5,23.41,-1927200000,,,,4981578000,4062887664,17296003758,0
3/1/01,2.08825,175.83,107.96,15.75,5,28.50,-2764500000,,,,5303562000,5153769468,22792748570,0
4/1/01,2.191655,169.03,103.85,16.25,4.5,28.13,-2502800000,,,,4901319000,4713703708,20374486826,0
5/1/01,2.296431818,162.66,99.98,16.75,4,22.94,-2363400000,,,,4941687000,5362183737,25954684967,0
6/1/01,2.375025,157.75,97.44,18.25,3.75,20.94,-2248700000,,,,4868042000,5033408207,22360326730,0
7/1/01,2.465222727,152.38,95.6,19,3.75,22.32,-2159100000,,,,4526226000,4957564819,26063068293,0
8/1/01,2.509830435,147.44,93.13,19,3.5,21.86,-1263900000,,,,5024542000,5719937959,25048979031,0
9/1/01,2.670863158,138.41,87.39,19,3,35.07,-1032200000,,,,4644960000,4738230423,21706023641,0
10/1/01,2.739372727,135.28,86.2,19,2.5,"	32.72",-2607800000,,,,4623748000,4943932135,24965016779,0
11/1/01,2.542265,145.97,93.81,19,2,"	26.63",-1670200000,,,,4643445000,4487381285,21256216522,0
12/1/01,2.3619,157.41,101.85,19,1.75,"	23.72",-1924400000,,,,4464022000,4330618982,20028485239,0
1/1/02,2.3771,157.77,102.19,19,1.75,22.25,-1305000000,,,,4571576000,3952038148,20117057888,0
2/1/02,2.4188,164.62,106.44,18.75,1.75,22.88,-1201400000,,,,4482046000,3652691211,17555811086,0
3/1/02,2.345845,171.74,111,18.5,1.75,18.98,-1136200000,,,,4491048000,4251755321,21172364495,0
4/1/02,2.3196,175.46,112.94,18.5,1.75,19.90,-2126300000,,,,4678918000,4612069084,23760736231,0
5/1/02,2.4796,163.77,105.21,18.5,1.75,20.09,-2042100000,,,,4089759000,4424075300,18957685371,0
6/1/02,2.713175,148.87,95.77,18.5,1.75,25.27,-1425200000,,,,4046630000,4064856073,12077634646,0
7/1/02,2.933834783,136.17,88.44,18,1.75,34.05,-707500000,,,,5506139000,6202182481,37922237046,0
8/1/02,3.109309091,128.37,83.6,18,1.75,33.74,169800000,,,,5178645000,5738521055,32644607346,0
9/1/02,3.341242857,120.71,78.88,18,1.75,37.65,1077200000,,,,6161037000,6478828752,35504918922,0
10/1/02,3.805130435,105.94,69.98,21,1.75,"	35.24",-183000000,,,,6018887000,6456465000,29427360365,0
11/1/02,3.5756,111.02,75.47,22,1.25,"	28.18",-306900000,,,,5425102000,5102634927,23636505761,0
12/1/02,3.625119048,108.76,75.39,25,1.25,"	28.21",-220400000,,,,5228437000,5211040751,22684886776,0
1/1/03,3.437554545,112.83,79.66,25.5,1.25,27.42,34600000,,,,5539196000,4780278337,25753257112,0
2/1/03,3.589955,107.62,76.79,26.5,1.25,32.22,-331700000,,,,6114870000,4981697380,23725813135,0
3/1/03,3.446089474,111.29,79.99,26.5,1.25,30.63,41300000,,,,5494258000,5209857493,24396846715,0
4/1/03,3.1179,122.11,88.59,26.5,1.25,23.99,-1102300000,,,,5776215000,5681705996,26849549426,0
5/1/03,2.954942857,125.84,91.99,26.5,1.25,20.24,717500000,,,,6044338000,6363120746,29509431575,0
6/1/03,2.882405,128.57,93.89,26,1,20.36,311700000,,,,5662073000,5851302730,24110969854,0
7/1/03,2.879,129.97,95.13,24.5,1,19.16,589700000,,,,5404209000,6087497688,24822203619,0
8/1/03,3.0017,125.89,92.21,22,1,19.27,1082200000,,,,5925946000,6386781075,24937275195,0
9/1/03,2.922,128.56,94.57,20,1,19.53,1144100000,,,,6714683000,7255157716,33969525284,0
10/1/03,2.8607,128.83,94.91,19,1,"	18.02",-99900000,,,,7021688000,7532647324,36430613918,0
11/1/03,2.913,126.62,93.57,17.5,1,"	17.40",-361100000,,,,6467377000,5918226834,24284429018,0
12/1/03,2.924454545,124.13,92.07,16.5,1,"	16.83",167200000,,,,6564751000,6728473371,22211387782,0
1/1/04,2.851033333,125.55,93.58,16.5,1,16.10,514600000,,,,6900517000,5785343912,32674627063,0
2/1/04,2.929511111,122.18,91.35,16.5,1,16.00,50200000,,,,6683972000,5715580929,24745574522,0
3/1/04,2.904656522,124.51,93.06,16.25,1,17.69,539400000,,,,7884924000,7907130664,36904341870,0
4/1/04,2.905185,125.28,93.58,16,1,15.70,-934100000,,,,6699445000,6581422428,19810871848,0
5/1/04,3.099619048,118.9,88.94,16,1,17.70,1254600000,,,,7731409000,7921661037,25693774565,0
6/1/04,3.128347619,116.47,87.6,16,1.25,15.34,1754700000,,,,8739784000,9306490756,34234289224,0
7/1/04,3.035977273,119.37,90.62,16,1.25,15.50,1529100000,,,,8161006000,8962900814,37228563297,0
8/1/04,3.0021,121.37,92.59,16,1.5,16.68,1506800000,,,,8163102000,9039689359,38299916409,0
9/1/04,2.890347619,125.82,96.03,16.25,1.75,14.08,1491500000,,,,8260138000,8910068943,33797142566,0
10/1/04,2.852055,126.33,96.46,16.75,1.75,"	14.97",782400000,,,,8058058000,8177723377,29896045149,0
11/1/04,2.78524,126.6,97.31,17.25,2,"	13.58",-467800000,,,,8433712000,8145723119,32211023743,0
12/1/04,2.71736087,128.18,99.34,17.75,2.25,"	12.46",937900000,,,,8442080000,8667937031,30140354246,0
1/1/05,2.6922,130,101.15,18.25,2.25,13.44,630600000,,,,9183131000,7480600323,27022616899,0
2/1/05,2.597,134.77,104.89,18.75,2.5,11.71,-47900000,,,,9570735000,7777720295,29348130923,0
3/1/05,2.7039,128.98,100.42,19.25,2.75,13.13,1562300000,,,,9224494000,9258176578,31668610823,0
4/1/05,2.5784,136.25,106.55,19.5,2.75,14.46,555100000,,,,9668086000,9247138198,33014800785,0
5/1/05,2.452,143.98,113.03,19.75,3,13.97,343100000,,,,9360353000,9849729906,31430942822,0
6/1/05,2.4127,148.14,116.2,19.75,3.25,11.87,1070500000,,,,9587827000,1.02E+10,33024160404,0
7/1/05,2.3727,151.51,118.77,19.75,3.25,11.05,2344400000,,,,10353190000,1.11E+10,36805752491,0
8/1/05,2.359830435,150.69,117.97,19.75,3.5,12.95,544800000,,,,9969385000,1.13E+10,37736460907,0
9/1/05,2.2936,154.9,120.83,19.5,3.75,12.63,2157700000,,,,9898505000,1.07E+10,33150633426,0
10/1/05,2.25565,159.57,125.04,19,3.75,"	14.94",667500000,,,,9791740000,9929497189,32189171089,0
11/1/05,2.21,164.13,129.5,18.5,4,"	12.15",1526600000,,,,11221850000,1.08E+10,36086552879,0
12/1/05,2.2847,158.75,125.52,18,4.25,"	11.26",324700000,,,,10882400000,1.09E+10,35346555707,0
1/1/06,2.2731,157.73,124.92,17.25,4.5,12.04,-532100000,,,,11118760000,9282148569,31165615942,0
2/1/06,2.1611,166.62,132.15,17.25,4.5,12.47,412000000,,,,10792670000,8757143569,27939238005,0
3/1/06,2.1512,167.13,132.6,16.5,4.75,11.69,1063400000,,,,11334080000,1.14E+10,38764389997,0
4/1/06,2.1285,167.62,132.42,15.75,4.75,11.85,-94500000,,,,10543870000,9822123658,29339238168,0
5/1/06,2.1773,161.56,127.36,15.75,5,14.45,174900000,,,,9500503000,1.03E+10,26398793620,0
6/1/06,2.2475,157.58,123.83,15.25,5.25,16.92,377700000,,,,10721570000,1.14E+10,35404059085,0
7/1/06,2.1885,161.92,127.33,14.75,5.25,15.33,2818400000,,,,12736480000,1.36E+10,50684398153,0
8/1/06,2.1551,163.48,128.27,14.25,5.25,13.35,1917200000,,,,11989140000,1.36E+10,40186349605,0
9/1/06,2.1679,163.25,128.25,14.25,5.25,12.18,2002100000,,,,11994870000,1.26E+10,36874081496,0
10/1/06,2.1475,164.98,130.06,13.75,5.25,"	11.31",1296000000,,,,12145260000,1.27E+10,38908613719,0
11/1/06,2.1571,163.01,128.78,13.25,5.25,"	10.82",1133700000,,,,12302560000,1.19E+10,35414847895,0
12/1/06,2.14912,161.47,127.65,13.25,5.25,"	10.96",205200000,,,,12531950000,1.23E+10,33178340131,0
1/1/07,2.1377,163.55,129.69,13,5.25,11.04,-638400000,,,,12829300000,1.10E+10,35999952261,0
2/1/07,2.0955,166.96,132.4,13,5.25,11.16,114100000,,,,12477310000,1.01E+10,31185073071,0
3/1/07,2.0879,166.45,131.81,12.75,5.25,15.16,-800000,,,,13161740000,1.29E+10,36012513066,0
4/1/07,2.0312,169.53,133.87,12.5,5.25,12.93,1533700000,,,,12973570000,1.24E+10,36655126495,0
5/1/07,1.9808,173.2,136.68,12.5,5.25,13.30,-477100000,,,,12546620000,1.36E+10,39519782056,0
6/1/07,1.9311,178.07,140.61,12,5.25,14.95,151600000,,,,12568190000,1.31E+10,35562289890,0
7/1/07,1.882,181.31,143.28,11.5,5.25,17.27,-1226500000,,,,12826240000,1.41E+10,45462526224,0
8/1/07,1.9652,174.65,138.31,11.5,5.25,25.03,945700000,,,,13262640000,1.51E+10,43842093134,0
9/1/07,1.8988,178.46,141,11.25,4.75,22.20,216600000,,,,13357880000,1.36E+10,39055445658,0
10/1/07,1.8002,186.15,146.9,11.25,4.5,"	19.12",-568300000,,,,14708710000,1.57E+10,44013184630,0
11/1/07,1.7691,187.72,147.88,11.25,4.5,"	25.58",-1927900000,,,,14530570000,1.40E+10,36956973534,0
12/1/07,1.7852,185.98,147.11,11.25,4.25,"	21.65",-876500000,,,,14519620000,1.42E+10,37200503699,0
1/1/08,1.7735,186,147.37,11.25,3,25.82,-5083600000,,,,15549800000,1.32E+10,37399552147,0
2/1/08,1.7269,189.96,150.1,11.25,3,25.46,-2376400000,,,,14613280000,1.28E+10,35084180600,0
3/1/08,1.7068,189.18,149.35,11.25,2.25,27.10,-4695300000,,,,13219760000,1.26E+10,25764221373,0
4/1/08,1.6881,189.85,149.94,11.75,2,21.56,-3459400000,,,,14232400000,1.40E+10,31854301075,0
5/1/08,1.6597,194.48,153.98,11.75,2,18.30,-1374600000,,,,18113680000,1.92E+10,55880706893,0
6/1/08,1.6181,198.83,157.63,12.25,2,22.11,-3280000000,,,,17776020000,1.86E+10,43442668263,0
7/1/08,1.5906,200.84,159.59,13,2,24.32,-3587600000,,,,18113130000,2.04E+10,46856654901,0
8/1/08,1.6115,202.76,161.6,13,2,20.70,-1727300000,,,,18251880000,1.97E+10,43181686404,0
9/1/08,1.7988,186.51,148.79,13.75,2,30.24,-3322100000,4761460000,3676610000,1084850000,17791280000,1.91E+10,44543839278,1
10/1/08,2.1721,159.86,128.25,13.75,1,"	61.18",-1745500000,3695310000,2655710000,1039600000,17228770000,1.84E+10,42426481855,1
11/1/08,2.2655,157.47,127.57,13.75,1,"	62.67",-1481800000,3683240000,2383680000,1299560000,15421500000,1.41E+10,32380104400,1
12/1/08,2.3936,147.56,120.35,13.75,0.125,"	52.41",-3468100000,3076630000,2230390000,846240000,13231380000,1.37E+10,29947014118,1
1/1/09,2.306642857,154.2,126.29,12.75,0.125,44.68,-3727700000,2391820000,1515360000,876460000,11720930000,9663351384,29810957217,1
2/1/09,2.3119,156.68,128.63,12.75,0.125,45.57,-854100000,2625360000,1902050000,723310000,11740850000,9491899751,29760432662,1
3/1/09,2.32954375,157.59,129.31,11.25,0.125,44.80,-1830200000,3231810000,2862580000,369230000,11856140000,1.16E+10,36195644527,1
4/1/09,2.2051,162.68,133.81,10.25,0.125,38.06,-89800000,2400070000,4115360000,-1715290000,12346750000,1.22E+10,40275827978,1
5/1/09,2.072647368,170.62,140.88,10.25,0.125,31.98,-2110400000,2745660000,4532130000,-1786470000,11490930000,1.19E+10,33084840333,1
6/1/09,1.95777619,179.06,148.05,9.25,0.125,29.14,-830000000,2960060000,2938677800,21382200,13345730000,1.43E+10,40949199738,1
7/1/09,1.936152632,180.69,149.86,8.75,0.125,26.16,-2799000000,2106800000,2319690000,-212890000,12515910000,1.41E+10,44190268171,1
8/1/09,1.84372381,188.2,155.76,8.75,0.125,25.34,-1073900000,2459420000,3237880000,-778460000,12818510000,1.38E+10,41310898955,1
9/1/09,1.821375,188.96,156.4,8.75,0.125,24.93,-2707500000,2477150000,2111550000,365600000,12890480000,1.38E+10,44316922173,1
10/1/09,1.7373,195.87,162.3,8.75,0.125,"	24.25",-3298900000,2596330000,2443530000,152800000,13491490000,1.40E+10,41652255462,1
11/1/09,1.724176471,196.1,162.75,8.75,0.125,"	23.79",-3759100000,2484580000,3677290000,-1192710000,13350170000,1.25E+10,35658351616,1
12/1/09,1.7468,194.85,161.86,8.75,0.125,"	21.24",-6247700000,2894790000,4194980000,-1300190000,13889200000,1.44E+10,38049968582,1
1/1/10,1.77218,192.37,160.61,8.75,0.125,20.64,-8312900000,3331930000,1481410000,1850520000,13951070000,1.12E+10,33586952229,1
2/1/10,1.84656,188.44,157.74,8.75,0.125,22.54,-6121200000,2683840000,2541442000,142398000,14910520000,1.21E+10,36147808081,1
3/1/10,1.786347826,194.3,162.82,8.75,0.125,17.77,-8642900000,3201790000,3658220000,-456430000,15486430000,1.56E+10,44865333748,1
4/1/10,1.75847619,197.71,166.02,9.5,0.125,17.42,-6752600000,3034820000,2684390000,350430000,15158230000,1.51E+10,38868276977,1
5/1/10,1.802738889,196.57,165.54,9.5,0.125,31.93,-5434300000,3355150000,4069690000,-714540000,16929990000,1.76E+10,43893441575,1
6/1/10,1.807768182,198.84,167.52,10.25,0.125,29.92,-7184600000,3025470000,3892280000,-866810000,15821120000,1.70E+10,42612938557,1
7/1/10,1.77052381,199.62,168.02,10.75,0.125,25.57,-9819600000,2774380000,4334540000,-1560160000,16119960000,1.76E+10,43805947991,1
8/1/10,1.759142857,199.19,167.2,10.75,0.125,24.75,-6082600000,3250060000,3162290000,87770000,17304090000,1.91E+10,49546393342,1
9/1/10,1.720785714,202.24,169.92,10.75,0.125,22.52,-8029300000,2621940000,3983510000,-1361570000,17528100000,1.87E+10,46765986700,1
10/1/10,1.677070588,201.8,170.16,10.75,0.125,"	20.37",-7008900000,3408240000,3499580000,-91340000,17977880000,1.81E+10,47290568374,1
11/1/10,1.712176471,199.27,168.88,10.75,0.125,"	20.10",-8488600000,3603430000,3423922500,179507500,18248890000,1.76E+10,41355777886,1
12/1/10,1.69695,203.38,172.73,10.75,0.125,"	17.57",-4840300000,3327623100,4437942100,-1110319000,20083010000,2.08E+10,51002002450,1
1/1/11,1.673378947,204.22,174.31,11.25,0.125,17.32,-10286100000,3491685100,1806780000,1684905100,18859570000,1.50E+10,36499173423,1
2/1/11,1.667847368,203.8,174.23,11.25,0.125,17.43,-5205000000,3362070000,2592280000,769790000,20529160000,1.66E+10,37284079921,1
3/1/11,1.658591304,203.31,174.13,11.75,0.125,20.72,-6744300000,4278330000,5291980000,-1013650000,18911650000,1.92E+10,41478621880,1
4/1/11,1.592325,210.17,180.56,12,0.125,16.24,-6175800000,5309450000,4622430000,687020000,20650790000,2.01E+10,42172305592,1
5/1/11,1.61227619,206.52,177.81,12,0.125,16.91,-6665500000,4894580000,6883460000,-1988880000,21484490000,2.31E+10,46983574819,1
6/1/11,1.587127273,209.46,180.44,12.25,0.125,19.15,-6180600000,4501431000,3665000000,836431000,20931460000,2.25E+10,45014744535,1
7/1/11,1.56362,212.3,182.94,12.5,0.125,19.23,-8791000000,4714700000,4341400000,373300000,20986700000,2.22E+10,46699082655,1
8/1/11,1.595665217,208.39,179.66,12.5,0.125,35.03,-6118100000,5555020000,4428170000,1126850000,23076530000,2.61E+10,54733524253,1
9/1/11,1.738195238,195.27,168.53,12,0.125,36.53,-5695200000,5274500000,4846980000,427520000,21750850000,2.32E+10,48962582075,1
10/1/11,1.779784211,192.71,166.67,11.5,0.125,"	32.83",-6014400000,3362290000,5796840000,-2434550000,21913630000,2.21E+10,44583016714,1
11/1/11,1.774017647,192.51,167.16,11.5,0.125,"	31.94",-8501200000,3385960000,2998730000,387230000,22505220000,2.17E+10,48554721021,1
12/1/11,1.831116667,189.3,164.78,11,0.125,"	25.05",-7199000000,3624090000,3189210000,434880000,21846020000,2.20E+10,51120224827,1
1/1/12,1.791665,194.43,169.64,10.5,0.125,20.23,-12403400000,3486090000,4810790000,-1324700000,19519730000,1.59E+10,31976027958,1
2/1/12,1.71965,199.84,174.5,10.5,0.125,18.42,-5385100000,3415410000,3694880000,-279470000,20503970000,1.79E+10,37622692112,1
3/1/12,1.790177273,192.21,167.17,9.75,0.125,16.17,-6866300000,5860080000,3152330000,2707750000,20915230000,2.07E+10,45559354634,1
4/1/12,1.850338095,186.34,162.58,9,0.125,17.82,-6873000000,5619950000,5730580000,-110630000,19913270000,1.95E+10,42870616532,1
5/1/12,1.974995455,176.7,154.71,8.5,0.125,21.00,-6888200000,4589390000,3594405800,994984200,20953870000,2.31E+10,48581698960,1
6/1/12,2.047771429,172.91,151.64,8.5,0.125,21.13,-7745900000,3397560000,2636630000,760930000,18294260000,1.92E+10,43019464688,1
7/1/12,2.02927619,175.11,154.24,8,0.125,17.57,-8650400000,4151880000,3224330000,927550000,19219880000,2.08E+10,47187454614,1
8/1/12,2.029995652,174.2,153.32,7.5,0.125,15.69,-4883000000,4318970000,3099510000,1219460000,19764110000,2.22E+10,48601508368,1
9/1/12,2.028473684,172.38,151.78,7.5,0.125,15.28,-5560000000,3609860000,2401070000,1208790000,19736160000,1.99E+10,46270514820,1
10/1/12,2.030615,171.63,151.74,7.25,0.125,"	16.28",-7965500000,3509750000,2378300000,1131450000,20001560000,2.12E+10,52962583072,1
11/1/12,2.06046,169.47,150.75,7.25,0.125,"	16.70",-9874600000,3143070000,2803610000,339460000,20483360000,1.97E+10,50945721080,1
12/1/12,2.083405556,167.7,149.87,7.25,0.125,"	17.31",-9582900000,2496580000,2688390000,-191810000,20120730000,1.97E+10,50334702404,1
1/1/13,2.032565,171.48,154.35,7.25,0.125,13.51,-13782400000,2459887600,2365273800,94613800,18779120000,1.58E+10,39742221890,1
2/1/13,1.973610526,177.34,159.58,7.25,0.125,14.07,-6596500000,2893000000,2653244000,239756000,19114120000,1.55E+10,35655842473,1
3/1/13,1.981531579,178.46,160.96,7.25,0.125,13.03,-7146600000,3833000000,4206158500,-373158500,18923500000,1.84E+10,39893298406,1
4/1/13,2.003114286,176.76,160.12,7.5,0.125,13.97,-7499500000,3484579500,8233839100,-4749259600,20363610000,2.06E+10,43368619498,1
5/1/13,2.029231818,174.57,158.6,8,0.125,13.49,-7058700000,4817000000,15341007000,-10524007000,19577120000,2.17E+10,48502753660,1
6/1/13,2.166294444,164.29,149.33,8,0.125,17.27,-4257500000,3529000000,3838755000,-309755000,18884740000,1.93E+10,45130186030,1
7/1/13,2.246445,159.33,144.72,8.5,0.125,13.97,-12369100000,3119175100,3616439800,-497264700,18294210000,2.04E+10,49470948858,1
8/1/13,2.338454545,152.97,138.87,9,0.125,14.21,-5964200000,3135929900,4435430000,-1299500100,19453910000,2.12E+10,53940880179,1
9/1/13,2.272535,157.72,142.98,9,0.125,14.69,-4990100000,2834000000,3540620000,-706620000,20088510000,2.07E+10,50723533816,1
10/1/13,2.194582353,162.51,148.06,9.5,0.125,"	15.41",-7597400000,2727000000,4965080000,-2238080000,19546820000,2.06E+10,52862414090,1
11/1/13,2.288789474,156.52,143.21,10,0.125,"	12.92",-6105800000,2403000000,4551060000,-2148060000,20238320000,1.89E+10,49347177442,1
